osmid,u,v,length,speed_kph,travel_time
251071489,1911183605,1819642396,441.9971957294538,60.0,26.519831743767224
31366681,1911557460,1911557461,141.09277287263606,60.0,8.465566372358163
31366681,1911557460,106078092,166.492863656751,60.0,9.989571819405061
31366681,1911557461,1911557462,187.68232376916572,60.0,11.260939426149942
31366681,1911557461,1911557460,141.09277287263606,60.0,8.465566372358163
31386363,1911557461,25893463,153.29889170687377,60.0,9.197933502412425
31366681,1911557462,106091888,225.39356375722937,60.0,13.523613825433761
31366681,1911557462,1911557461,187.68232376916572,60.0,11.260939426149942
"[533541060, 4462079]",1911633802,6300672,601.2292939221647,60.0,36.07375763532988
31401231,1911633802,6300672,573.5559266026826,60.0,34.413355596160955
121643159,1916221425,1256638085,40.79630269998354,60.0,2.4477781619990124
392286925,1918315244,12953608247,114.19517593448033,60.0,6.851710556068819
"[1370372920, 142729694, 1370372887]",1918315244,9712335423,106.91645836243121,60.0,6.414987501745872
439678712,1918703416,432473216,293.1109376501,59.63388796450361,17.694626521223228
520994873,1918713623,769261227,96.99811093156163,60.0,5.819886655893697
1177190903,1918713623,88110835,367.462047682184,60.0,22.04772286093104
"[1216921408, 330379317, 1415725207, 1415725208, 1216921407]",1918713623,1240510196,1251.5795839910368,60.0,75.0947750394622
"[1366533016, 1041617721, 338295508]",1921031271,537564551,787.5076722943658,60.0,47.25046033766194
181727628,1921563506,1921563563,685.7611737339878,60.0,41.14567042403927
"[1443181922, 31369189]",1921563563,1117567370,77.75480372665541,60.0,4.665288223599324
31369189,1921563563,252598823,261.54515691611675,60.0,15.692709414967004
181727628,1921563563,1921563506,685.7611737339876,60.0,41.14567042403925
"[465127766, 181931078]",1922705880,4450064127,139.90073191763736,60.0,8.39404391505824
"[239637824, 439759519]",1922705886,4450064156,136.69005519863885,60.0,8.20140331191833
"[38505958, 38483006, 38505975]",1922773379,454995208,698.5955223680991,58.42291666666667,43.04721544243038
38483006,1922773379,454988701,76.62420120358915,58.42291666666667,4.721556883350641
181935772,1922773379,454989025,87.49286312722806,58.42291666666667,5.391280087146527
347696318,1923404658,10259217304,7.315499948975068,60.0,0.43892999693850404
181989773,1923404658,10259217295,1417.619568486544,60.0,85.05717410919263
347696318,1923404658,1906838047,266.14526303113297,60.0,15.968715781867978
1121187264,1923404733,10255315535,8.330953904214283,60.0,0.49985723425285694
237356155,1923404733,13167389589,86.76951364237661,60.0,5.206170818542597
237356155,1923404735,1923404733,9.823455396106286,60.0,0.5894073237663772
237356156,1923404735,253507239,1195.4852543188235,60.0,71.7291152591294
44955807,1923404767,569985275,167.6021162441393,60.0,10.056126974648357
"[609054520, 866327386]",1923404767,6584959226,908.0388021152003,20.0,163.44698438073604
44955807,1923404799,1923404767,231.24472314445717,60.0,13.87468338866743
542926353,1923404815,1923404799,45.493542023758536,60.0,2.729612521425512
181989774,1923404815,10598535006,737.2573480891435,60.0,44.23544088534861
1364949365,1923404860,12629341726,7.978526738661805,60.0,0.4787116043197083
"[486840242, 815816460, 1359289901]",1923404860,1923404901,818.55546120334,50.0,58.935993206640475
815816462,1923404901,569985321,112.10520310119706,60.0,6.726312186071823
237356154,1923404912,1923404901,34.82770461599498,60.0,2.089662276959699
"[181989771, 1359289900, 486840239]",1923404912,12629341726,808.6561524723013,50.0,58.22324297800569
172592899,1923946013,25499529,40.67561986878306,60.0,2.440537192126983
221416312,1923946013,1923946015,60.821505761703946,60.0,3.6492903457022363
"[172289556, 1231657134]",1923946015,307292,120.5072844804624,50.0,8.676524482593292
193521657,1924409931,304771474,30.72761437162921,60.0,1.8436568622977523
182101426,1924409931,1924409932,165.60239414192745,60.0,9.936143648515646
182101426,1924409932,22302545,41.02271123646486,60.0,2.461362674187891
"[182101425, 738604069]",1924409932,22302435,111.07779196941125,60.0,6.664667518164674
217021504,1929591516,1929591518,13.415663969204914,60.0,0.8049398381522948
362629687,1929591516,255352804,288.85066171290555,60.0,17.33103970277433
362629688,1929591516,353570,169.921987484835,60.0,10.1953192490901
217021504,1929591518,1929591516,13.415663969204914,60.0,0.8049398381522948
"[281481545, 1507121585]",1929591518,5808997815,162.76629656474051,60.0,9.76597779388443
631971467,1929591518,22264782,276.5917134564346,60.0,16.595502807386076
307347262,1929705686,1929705698,12.995135873950556,60.0,0.7797081524370333
"[327884521, 327884523, 327884526, 223469911, 223469914, 1046574429]",1929705686,5335353236,739.8793039378866,60.0,44.39275823627319
"[1292316258, 1292316259, 1351173214]",1929705689,4001563885,547.4230051218782,50.0,39.41445636877523
182611213,1929705692,4001520313,86.78856588848235,60.0,5.207313953308941
"[1131030281, 778029189]",1929705692,802551580,164.5239951392898,60.0,9.871439708357387
1292316259,1929705698,1929705689,11.835834490615367,60.0,0.7101500694369219
"[308301802, 182611730, 182611727]",1929705698,1929705727,45.09725169787697,60.0,2.705835101872618
769637491,1929705721,1929705727,8.497605061589088,60.0,0.5098563036953452
"[182611194, 182611732, 778028589]",1929705721,1929705689,46.27132100033715,60.0,2.776279260020229
778028591,1929705727,1929705736,13.877145987253538,60.0,0.8326287592352122
182611205,1929705727,1929705749,65.40668455772713,60.0,3.9244010734636277
307347261,1929705732,1929705721,12.045127789002088,60.0,0.7227076673401251
182611213,1929705732,1929705692,82.37631295687528,60.0,4.942578777412517
182611213,1929705736,1929705732,8.194747279936626,60.0,0.49168483679619757
778029190,1929705736,2003879200,160.39513545394337,60.0,9.6237081272366
